 108 U	S
   1 Mexico	On
   1 Mexico	In
   1 Mexico	Accessed
   1 Metal	Tariffs
   1 Menu	BUTTON
   1 Men	eating
   1 Meeting	Fails
   1 Meeting	Between
   1 Measures	Accessed
   1 McClatchy	Washington
   1 May	Not
   1 May	Leave
   1 May	4
   1 May	31
   1 May	29
   1 May	23
   1 May	21
   1 May	20
   1 May	2
   1 May	18
   1 May	17
   1 May	15
   1 Mattresses	How
   1 Massive	Cut
   1 Market	is
   1 Margins	Accessed
   1 March	7
   1 March	23
   1 March	22
   1 March	2019
   1 Many	countries
   1 Many	European
   1 Manufacturing	Is
   1 Manufacturers	warned
   1 Makes	Massive
   1 Makers	Back
   1 Makers	Accessed
   1 Make	Everything
   1 Maine	lobster
   1 Maine	Lobstermen
   1 Made	Cars
   1 Machinery	Goods
   1 M	and
   1 Lowers	Your
   1 Low	as
   1 Loud	Threats
   1 Losses	Mount
   1 Losses	Accessed
   1 Lobstermen	Accessed
   1 Lobbying	Against
   1 Loans	Online
   1 Loans	Basics
   1 Loans	About
   1 List	of
   1 List	September
   1 Linkedin	Investing
   1 Linger	Accessed
   1 Line	Article
   1 Line	A
   1 Limit	Impact
   1 Lifts	Sorghum
   1 Lifewire	ThoughtCo
   1 Levies	Tariffs
   1 Leave	These
   1 Learn	From
   1 Layoffs	From
   1 Latest	Trade
   1 Latest	Tariffs
   1 Later	that
   1 Last	Accessed
   1 Largest	Trade
   1 Largest	Auto
   1 LNG	price
   1 LNG	and
   1 Korea	agreed
   1 Korea	On
   1 Korea	Argentina
   1 Korea	Accessed
   1 Kimberly	Amadeo
   1 Kick	My
   1 K	the
   1 Justin	Trudeau
   1 Justice	Department
   1 Just	Make
   1 Just	About
   1 June	4
   1 June	29
   1 June	22
   1 June	21
   1 June	12
   1 June	11
   1 June	10
   1 July	6
   1 July	25
   1 July	24
   1 July	17
   1 July	11
   1 July	1
   1 Journey	Fish
   1 Journal	US
   1 Journal	This
   1 Journal	Tesla
   1 Journal	Tariffs
   1 Journal	Soybean
   1 Journal	Soda
   1 Journal	In
   1 Journal	Germany
   1 Journal	From
   1 Journal	Companies
   1 Joins	a
   1 Jobs	Are
   1 Jobless	Accessed
   1 Jinping	at
   1 Jinping	Photo
   1 Japan	that
   1 Japan	It
   1 January	and
   1 January	22
   1 January	18
   1 Its	comparative
   1 It	will
   1 It	was
   1 It	wants
   1 It	turned
   1 It	replaced
   1 It	reduces
   1 It	promotes
   1 It	only
   1 It	might
   1 It	lifted
   1 It	increased
   1 It	depresses
   1 It	applied
   1 It	allowed
   1 It	Needs
   1 It	Is
   1 It	Brexit
   1 It	Appears
   1 Is	Trying
   1 Is	Trump
   1 Is	So
   1 Is	Slowing
   1 Is	Pushing
   1 Is	Playing
   1 Is	No
   1 Is	Near
   1 Is	Growing
   1 Is	Gonna
   1 Is	Changing
   1 Is	Affected
   1 Iron	Out
   1 Iran	and
   1 Iran	They
   1 Investors	Our
   1 Investors	Eyeing
   1 Investing	Stocks
   1 Investing	Credit
   1 Investigations	The
   1 International	cargo
   1 International	Trade
   1 Insider	Trump
   1 Insider	Switzerland
   1 Insider	ROUND
   1 Industry	Disagree
   1 Industry	Council
   1 Indiana	and
   1 India	and
   1 Income	Drops
   1 In	return
   1 In	late
   1 In	exchange
   1 In	early
   1 In	addition
   1 In	October
   1 In	August
   1 In	April
   1 Imposes	New
   1 Imposed	by
   1 Impose	Tariffs
   1 Impose	Steep
   1 Impose	Metal
   1 Imports	on
   1 Imports	in
   1 Imports	as
   1 Imports	Are
   1 Imports	After
   1 Import	Tariffs
   1 Import	Boost
   1 Impact	on
   1 Images	By
   1 Image	shows
   1 Illinois	Indiana
   1 If	they
   1 If	China
   1 IRAs	Mutual
   1 II	Trump
   1 IFRAME	www
   1 IFRAME	about
   1 Hurt	the
   1 How	to
   1 How	a
   1 How	Trump
   1 How	Much
   1 How	Most
   1 How	Made
   1 How	Accessed
   1 House	to
   1 House	Readies
   1 Honeywell	hundreds
   1 Honeywell	Says
   1 Home	for
   1 Home	Accessed
   1 Holiday	Shopping
   1 Holdings	at
   1 Hits	Home
   1 Hit	Those
   1 Hit	Home
   1 Hit	Hard
   1 Hit	Accessed
   1 History	Is
   1 His	Trade
   1 Higher	Tariffs
   1 Higher	Cost
   1 Here	Is
   1 Here	Accessed
   1 Help	U
   1 Heartland	They
   1 He	wants
   1 He	wanted
   1 He	raised
   1 He	promised
   1 He	imposed
   1 He	has
   1 He	gave
   1 He	also
   1 He	Removed
   1 Hawley	was
   1 Hawley	Tariff
   1 Hawley	Are
   1 Has	Treasury
   1 Hard	in
   1 Handshake	and
   1 Hammer	Supply
   1 Half	of
   1 Hacking	and
   1 Guidelines	Also
   1 Guide	How
   1 Guard	Accessed
   1 Growth	is
   1 Growth	Slowing
   1 Growing	List
   1 Growing	Again
   1 Groups	Relieved
   1 Group	of
   1 Grain	Groups
   1 Goods	in
   1 Goods	as
   1 Goods	With
   1 Goods	Escalating
   1 Good	but
   1 Good	and
   1 Gonna	Kick
   1 Going	to
   1 Go	____________________
   1 Go	Investing
   1 Global	Trade
   1 Global	Auto
   1 Getty	Images
   1 Get	Trapped
   1 Get	Creamed
   1 Germany	s
   1 Germany	proposed
   1 GTM	5SPGGR
   1 G7	meeting
   1 G	M
   1 G	20
   1 Funds	View
   1 Front	He
   1 From	Trump
   1 From	South
   1 From	Smoot
   1 From	Seafood
   1 Frames	Trump
   1 Foreign	tariffs
   1 Foreign	Steel
   1 Forecast	Accessed
   1 Ford	G
   1 For	example
   1 Following	Meeting
   1 Flipboard	Linkedin
   1 Fish	Caught
   1 First	Trade
   1 First	Layoffs
   1 Fires	Warning
   1 Finance	Honeywell
   1 Finalizes	Tariffs
   1 File	State
   1 Fight	Accessed
   1 Fiat	Chrysler
   1 Feud	Has
   1 Feels	So
   1 Feel	the
   1 Fed	estimated
   1 Fed	Accessed
   1 February	27
   1 Favored	Nation
   1 Farmers	suffer
   1 Farmers	Part
   1 Farmers	Caught
   1 Farmers	4
   1 Farmer	Income
   1 Farm	Belt
   1 Farm	Aid
   1 Fails	Sources
   1 Factory	in
   1 Factories	Accessed
   1 Factbox	Tariff
   1 Fact	Sheet
   1 Facebook	Pinterest
   1 Face	Tariffs
   1 Eyeing	China
   1 Exports	to
   1 Exports	of
   1 Expects	Higher
   1 Expectations	Accessed
   1 Expand	Trump
   1 Exchange	Rates
   1 Examples	of
   1 Everything	with
   1 Everything	It
   1 Ever	Be
   1 Eventually	the
   1 Europeans	Agree
   1 European	imports
   1 European	countries
   1 European	autos
   1 European	auto
   1 European	Union
   1 Europe	on
   1 Europe	Retaliates
   1 Europe	Is
   1 Espionage	Escalating
   1 Escalation	of
   1 Escalating	Tensions
   1 Escalate	Accessed
   1 End	Use
   1 Emergency	Aid
   1 Email	Trump
   1 Email	Address
   1 Electronics	Aerospace
   1 Eight	countries
   1 Effect	of
   1 Editorial	Guidelines
   1 Economy	car
   1 Economy	Trump
   1 Economy	Image
   1 Economics	predicted
   1 Economics	Who
   1 Economics	Europe
   1 Economic	Plan
   1 Economic	History
   1 Economic	Espionage
   1 Economic	Concerns
   1 Easy	to
   1 EU	until
   1 EU	threatened
   1 EU	tariffs
   1 EU	s
   1 EU	retaliated
   1 EU	agreed
   1 EU	U
   1 EU	The
   1 EU	On
   1 EU	Mexico
   1 EU	How
   1 EU	Goods
   1 Duties	Imposed
   1 Dust	Bowl
   1 Due	to
   1 Drops	Threat
   1 Drops	Most
   1 Drop	Sharply
   1 Down	Trade
   1 Down	Accessed
   1 Doubles	Down
   1 Dotdash	publishing
   1 Doomed	to
   1 Don	t
   1 Dollar	NAFTA
   1 Dock	workers
   1 Diving	Accessed
   1 Dispute	Accessed
   1 Disagree	Accessed
   1 Differences	Accessed
   1 Did	Something
   1 Destroy	the
   1 Destroy	4
   1 Depression	Those
   1 Depression	Other
   1 Depression	It
   1 Department	would
   1 Department	of
   1 Department	Calls
   1 Delivered	Email
   1 Delays	Some
   1 Delay	but
   1 Deficit	by
   1 Defense	Industry
   1 December	15
   1 December	11
   1 December	1
   1 December	07
   1 Decade	Low
   1 Deal	to
   1 Deal	in
   1 Deal	Is
   1 Deal	Accessed
   1 Days	of
   1 Day	Trade
   1 Davidson	motorcycles
   1 Davidson	announced
   1 Dairy	Farmers
   1 Cuts	Here
   1 Cut	to
   1 Curbs	Catching
   1 Criticizes	Unfair
   1 Credit	Card
   1 Creamed	by
   1 Country	Accessed
   1 Countries	are
   1 Council	said
   1 Could	Spark
   1 Could	Destroy
   1 Could	Be
   1 Costs	have
   1 Costs	from
   1 Cost	in
   1 Cost	Ford
   1 Corn	growers
   1 Cookie	Policy
   1 Continue	Reading
   1 Continent	Nail
   1 Contents	Skip
   1 Contact	Editorial
   1 Consumers	Accessed
   1 Consultant	Oxford
   1 Consequences	for
   1 Congress	is
   1 Conflict	Losses
   1 Conference	Trump
   1 Condemn	China
   1 Concessions	From
   1 Concerns	Linger
   1 Concerns	Accessed
   1 Companies	have
   1 Companies	Scramble
   1 Companies	Feel
   1 Commerce	Fact
   1 Commerce	Department
   1 Code	2009
   1 Chrysler	Send
   1 Chinese	telecom
   1 Chinese	steel
   1 Chinese	solar
   1 Chinese	retaliatory
   1 Chinese	market
   1 Chinese	industries
   1 Chinese	companies
   1 Chinese	acquisition
   1 Chinese	Electronics
   1 China	were
   1 China	was
   1 China	uses
   1 China	threatened
   1 China	the
   1 China	requires
   1 China	regardless
   1 China	penalized
   1 China	may
   1 China	imported
   1 China	canceled
   1 China	buys
   1 China	U
   1 China	The
   1 China	Retaliates
   1 China	Quietly
   1 China	Over
   1 China	Offers
   1 China	Moves
   1 China	Most
   1 China	Makes
   1 China	Lifts
   1 China	International
   1 China	If
   1 China	Growth
   1 China	Get
   1 China	Fires
   1 China	As
   1 China	Announce
   1 China	Affects
   1 Changing	the
   1 Changed	NAFTA
   1 Change	in
   1 Census	Bureau
   1 Caved	to
   1 Catching	Beijing
   1 Cars	Accessed
   1 Careers	TRUSTe
   1 Careers	Contact
   1 Cards	View
   1 Cards	Taxes
   1 Cards	Credit
   1 Card	Basics
   1 Car	Tariffs
   1 Car	Import
   1 Cannot	Just
   1 Canadian	Prime
   1 Canada	would
   1 Canada	Mexico
   1 Canada	India
   1 Canada	Because
   1 Can	Panic
   1 Calls	for
   1 California	cheese
   1 California	Dairy
   1 CNBC	Whiskey
   1 CNBC	Trump
   1 CNBC	It
   1 CNBC	Commerce
   1 CNBC	China
   1 CEO	Says
   1 By	using
   1 By	far
   1 By	Kimberly
   1 Buying	Soybeans
   1 Butt	Farm
   1 But	the
   1 But	on
   1 But	most
   1 But	Russia
   1 Businesses	Ramp
   1 Businesses	Accessed
   1 Business	The
   1 Bureau	U
   1 Bureau	California
   1 Build	Auto
   1 Brexit	Consequences
   1 Brexit	Brexit
   1 Brazil	from
   1 Brazil	U
   1 Bowl	But
   1 Boost	in
   1 Boils	Maine
   1 Boeing	airplanes
   1 Bloomberg	Trade
   1 Bloomberg	How
   1 Bloomberg	China
   1 Bloomberg	Automakers
   1 Blocks	ZTE
   1 Billion	to
   1 Billion	Farm
   1 Billion	Accessed
   1 Bill	Men
   1 Biggest	Trade
   1 Between	Trump
   1 Between	Superpowers
   1 Best	for
   1 Best	Savings
   1 Best	Rewards
   1 Best	Money
   1 Best	Credit
   1 Belt	Bankruptcies
   1 Beijing	Off
   1 Be	Wiped
   1 Be	Signed
   1 Basics	Using
   1 Basics	Best
   1 Base	Stand
   1 Bankruptcies	Are
   1 Banking	View
   1 Balance	you
   1 Balance	uses
   1 Balance	is
   1 Balance	Trade
   1 Balance	Team
   1 Balance	Small
   1 Balance	Careers
   1 Bad	and
   1 Back	on
   1 Back	Against
   1 Back	Abolition
   1 BUTTON	x
   1 BUTTON	Sign
   1 BUTTON	Search
   1 BUTTON	Menu
   1 BUTTON	Expand
   1 BUTTON	Continue
   1 Avert	Escalation
   1 Automobile	Manufacturers
   1 Automakers	Saved
   1 Auto	Factory
   1 Australia	and
   1 August	27
   1 August	23
   1 August	2019
   1 August	2
   1 August	13
   1 Atlantic	map
   1 Association	said
   1 Asks	China
   1 Asking	China
   1 As	their
   1 As	that
   1 As	it
   1 As	a
   1 Article	Table
   1 Article	Sources
   1 Argentina	Australia
   1 Are	a
   1 Are	Soaring
   1 Are	Here
   1 Are	Good
   1 Are	Going
   1 Are	Doomed
   1 Are	Bad
   1 April	5
   1 April	3
   1 April	21
   1 April	2018
   1 April	18
   1 April	15
   1 April	10
   1 Appears	China
   1 Another	200
   1 Announce	Newest
   1 Announce	Deal
   1 An	example
   1 Americans	who
   1 Americans	of
   1 Americans	from
   1 American	products
   1 American	household
   1 American	enthusiasm
   1 American	companies
   1 American	Made
   1 American	Jobs
   1 America	out
   1 America	is
   1 America	imported
   1 America	Trade
   1 America	Processed
   1 America	First
   1 America	Cannot
   1 Amadeo	Updated
   1 Aluminum	Association
   1 Aluminum	Accessed
   1 Altogether	Because
   1 Also	from
   1 Allies	and
   1 Allies	Relieved
   1 Allies	Accessed
   1 Alliance	of
   1 All	visit
   1 All	Taxes
   1 All	Credit
   1 All	Banking
   1 Alaska	and
   1 Airbus	The
   1 Aid	to
   1 Aid	Program
   1 Ahead	on
   1 AgriPulse	US
   1 Agreements	Exchange
   1 Agreement	Ever
   1 Against	Mexico
   1 Again	Dock
   1 After	the
   1 After	Truce
   1 After	Q3
   1 After	Days
   1 After	China
   1 Affects	the
   1 Affected	by
   1 Affect	U
   1 Aerospace	and
   1 Aerospace	Industry
   1 Advertise	Terms
   1 Administration	to
   1 Administration	Targets
   1 Administration	Rolls
   1 Address	____________________
   1 Address	U
   1 Additional	Tariffs
   1 Accounts	Loans
   1 Accord	Is
   1 AccessedDec	6
   1 About	Us
   1 About	Everything
   1 Abolition	of
   1 A	10
   1 97	of
   1 95	Business
   1 94	Reuters
   1 93	Yahoo
   1 92	Star
   1 91	Reuters
   1 900	import
   1 90	The
   1 90	Day
   1 9	The
   1 89	The
   1 88	McClatchy
   1 87	The
   1 86	The
   1 85	Politico
   1 84	The
   1 831	a
   1 83	The
   1 82	The
   1 81	CNN
   1 800	billion
   1 80	The
   1 8	billion
   1 8	The
   1 79	The
   1 78	The
   1 77	The
   1 76	The
   1 75	points
   1 75	The
   1 745	items
   1 74	Peterson
   1 73	Peterson
   1 72	The
   1 71	The
   1 70	United
   1 7	billion
   1 7	Bloomberg
   1 7	Billion
   1 7	2018
   1 69	Office
   1 68	The
   1 67	CNBC
   1 66	The
   1 65	The
   1 65	It
   1 648	billion
   1 64	The
   1 63	The
   1 621	billion
   1 62	The
   1 61	Bloomberg
   1 60	The
   1 6	billion
   1 6	Year
   1 6	Ways
   1 6	The
   1 6	Farmers
   1 6	5
   1 6	2091
   1 6	2018
   1 5SPGGR	The
   1 59	The
   1 58	Office
   1 57	Business
   1 56	The
   1 55	The
   1 540	billion
   1 54	The
   1 53	USA
   1 52	The
   1 51	The
   1 506	billion
   1 500	billion
   1 50	cents
   1 50	The
   1 50	Billion
   1 5	tariff
   1 5	million
   1 5	digit
   1 5	Reasons
   1 5	NBCNews
   1 5	745
   1 5	2018
   1 49	The
   1 48	hours
   1 48	The
   1 48	Smoot
   1 47	The
   1 46	The
   1 45	Bloomberg
   1 442	billion
   1 44	The
   1 43	NBC
   1 42	The
   1 419	per
   1 419	billion
   1 41	The
   1 401	k
   1 40	to
   1 40	tariff
   1 40	The
   1 4	of
   1 4	The
   1 4	Reasons
   1 4	It
   1 4	2019
   1 4	2018
   1 3M	Shares
   1 3M	100
   1 39	The
   1 38	CNBC
   1 372	billion
   1 37	AgriPulse
   1 36	The
   1 35	The
   1 34	billion
   1 34	The
   1 34	Billion
   1 33	The
   1 325	billion
   1 32	The
   1 31	The
   1 31	2018
   1 30	The
   1 3	billion
   1 3	The
   1 3	2018
   1 3	2
   1 29	The
   1 29	2019
   1 29	2018
   1 28	Bloomberg
   1 27	the
   1 27	Reuters
   1 27	2019
   1 26	The
   1 250	billion
   1 25	to
   1 25	tax
   1 25	tariffs
   1 25	if
   1 25	cents
   1 25	U
   1 25	The
   1 25	Tariffs
   1 25	2018
   1 245	a
   1 24	Politico
   1 232	Investigations
   1 23	National
   1 23	It
   1 23	China
   1 23	2019
   1 22	the
   1 22	Bloomberg
   1 214	billion
   1 21	The
   1 21	Germany
   1 2091	39
   1 206	billion
   1 2030	China
   1 2025	plan
   1 2025	Frames
   1 2020	It
   1 202	Trump
   1 202	The
   1 2019	to
   1 2019	on
   1 2019	after
   1 2019	United
   1 2019	That
   1 2019	Negotiators
   1 2019	Goldman
   1 2019	Due
   1 2019	CNBC
   1 2019	BUTTON
   1 2019	A
   1 2019	95
   1 2019	94
   1 2019	93
   1 2019	92
   1 2019	91
   1 2019	90
   1 2019	9
   1 2019	89
   1 2019	88
   1 2019	87
   1 2019	86
   1 2019	85
   1 2019	84
   1 2019	83
   1 2019	82
   1 2019	81
   1 2019	80
   1 2019	8
   1 2019	79
   1 2019	78
   1 2019	77
   1 2019	76
   1 2019	75
   1 2019	74
   1 2019	73
   1 2019	72
   1 2019	71
   1 2019	70
   1 2019	7
   1 2019	69
   1 2019	68
   1 2019	67
   1 2019	66
   1 2019	65
   1 2019	64
   1 2019	63
   1 2019	62
   1 2019	61
   1 2019	60
   1 2019	6
   1 2019	59
   1 2019	58
   1 2019	57
   1 2019	56
   1 2019	55
   1 2019	54
   1 2019	53
   1 2019	52
   1 2019	51
   1 2019	50
   1 2019	5
   1 2019	49
   1 2019	48
   1 2019	47
   1 2019	46
   1 2019	45
   1 2019	44
   1 2019	43
   1 2019	42
   1 2019	41
   1 2019	40
   1 2019	4
   1 2019	38
   1 2019	37
   1 2019	36
   1 2019	35
   1 2019	34
   1 2019	33
   1 2019	32
   1 2019	31
   1 2019	30
   1 2019	3
   1 2019	29
   1 2019	28
   1 2019	27
   1 2019	26
   1 2019	25
   1 2019	24
   1 2019	23
   1 2019	22
   1 2019	21
   1 2019	20
   1 2019	2
   1 2019	19
   1 2019	18
   1 2019	17
   1 2019	16
   1 2019	15
   1 2019	14
   1 2019	13
   1 2019	12
   1 2019	11
   1 2019	10
   1 2018	weeks
   1 2018	soybean
   1 2018	midterm
   1 2018	U
   1 2018	Other
   1 2018	On
   1 2018	He
   1 2018	G7
   1 2017	those
   1 2017	the
   1 2016	election
   1 2016	as
   1 2016	On
   1 2009	2018
   1 20	years
   1 20	of
   1 20	The
   1 20	Summit
   1 20	Conference
   1 20	2019
   1 2	billion
   1 2	US
   1 2	The
   1 1975	Reducing
   1 1962	it
   1 1930	Smoot
   1 19	The
   1 18	On
   1 18	China
   1 18	Business
   1 18	2019
   1 18	2018
   1 17	Bloomberg
   1 17	2019
   1 16	The
   1 159	billion
   1 15	to
   1 15	Reuters
   1 15	It
   1 15	2019
   1 15	2018
   1 147	000
   1 142	issues
   1 14	United
   1 130	billion
   1 13	The
   1 13	2019
   1 120	billion
   1 12	the
   1 12	million
   1 12	CNBC
   1 12	Billion
   1 11	various
   1 11	The
   1 11	Billion
   1 11	8
   1 100	million
   1 10	year
   1 10	tax
   1 10	tariffs
   1 10	industries
   1 10	He
   1 10	CNN
   1 10	2018
   1 1	trillion
   1 1	on
   1 1	exporter
   1 1	billion
   1 1	On
   1 1	CNBC
   1 1	Billion
   1 1	245
   1 1	1
   1 07	2019
   1 000	workers
   1 0	The
   1 0	75
   1 0	6
   1 0	5
   1 0	4
